SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),2723 N Downer Ave,Milwaukee,WI,53211,679000,,,Milwaukee,,4791,1905,73,,,Active,,,http://www.redfin.com/WI/Milwaukee/2723-N-Downer-Ave-53211/home/90360692,METROMLS,1667550,N,Y,43.0679156,-87.8784267
MLS Listing,,Multi-Family (2-4 Unit),2135 S 33rd St,Milwaukee,WI,53215,125400,4,2,Milwaukee,2445,5227,1930,77,51,,Active,,,http://www.redfin.com/WI/Milwaukee/2135-S-33rd-St-53215/home/90235636,METROMLS,1667091,N,Y,43.0058674,-87.9556689
MLS Listing,,Multi-Family (2-4 Unit),2104 N 29th St #2106,Milwaukee,WI,53208,75000,7,2,Milwaukee,2702,2613,1907,79,28,,Active,,,http://www.redfin.com/WI/Milwaukee/2104-N-29th-St-53208/unit-2106/home/79070530,METROMLS,1666881,N,Y,43.0580082,-87.9495749
MLS Listing,,Multi-Family (2-4 Unit),1621 N 38th St #1623,Milwaukee,WI,53208,75000,6,2,Milwaukee,3011,3920,1907,79,25,,Active,,,http://www.redfin.com/WI/Milwaukee/1621-N-38th-St-53208/unit-1623/home/79070535,METROMLS,1666880,N,Y,43.0520103,-87.9618679
MLS Listing,,Multi-Family (2-4 Unit),2355 N 8th St,Milwaukee,WI,53206,5000,5,2,Milwaukee,2404,4791,1880,79,2,,Active,,,http://www.redfin.com/WI/Milwaukee/2355-N-8th-St-53206/home/90223408,METROMLS,1666828,N,Y,43.061585,-87.9218551
MLS Listing,,Multi-Family (2-4 Unit),4802A W Cleveland Ave Unit 4802B,Milwaukee,WI,53219,208500,4,2,Milwaukee,1860,6534,1947,79,112,,Active,,,http://www.redfin.com/WI/Milwaukee/4802A-W-Cleveland-Ave-53219/unit-4802B/home/169650248,METROMLS,1666754,N,Y,42.9959499,-87.9741999
MLS Listing,,Multi-Family (2-4 Unit),2634 S 13th St,Milwaukee,WI,53215,74500,5,2,Milwaukee,2056,3484,1907,80,36,,Active,,,http://www.redfin.com/WI/Milwaukee/2634-S-13th-St-53215/home/58067589,METROMLS,1666673,N,Y,42.9968424,-87.9283862
MLS Listing,,Multi-Family (2-4 Unit),809 S 28th St #811,Milwaukee,WI,53215,69900,6,2,Milwaukee,2600,3484,1901,80,27,,Active,,,http://www.redfin.com/WI/Milwaukee/809-S-28th-St-53215/unit-811/home/169645046,METROMLS,1666582,N,Y,43.0227536,-87.9493523
MLS Listing,,Multi-Family (2-4 Unit),5058 N 60th St,Milwaukee,WI,53218,77435,4,2,Milwaukee,2095,6098,1949,80,37,,Active,,,http://www.redfin.com/WI/Milwaukee/5058-N-60th-St-53218/home/57760531,METROMLS,1666577,N,Y,43.1096349,-87.9858996
MLS Listing,,Multi-Family (2-4 Unit),3557 N Martin L King Jr Dr,Milwaukee,WI,53212,119900,5,2,Milwaukee,2500,4356,1893,81,48,,Active,,,http://www.redfin.com/WI/Milwaukee/3557-N-Doctor-M-L-K-Jr-Dr-53212/home/90213036,METROMLS,1666539,N,Y,43.0829134,-87.91925
